Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772197085	0	20439	23716	0	201688	6593	0	88	0	0	0	0	0	0	0	1	1
1772197087	2	98052	101456	0	201688	6593	0	88	0	7615	128	0	0	0	0	1	1
1772197089	4	98052	101456	0	201688	6593	0	88	0	15724	265	420	6	0	0	1	1
1772197091	6	98052	101456	0	201688	6593	0	88	0	79334	559	1182	9	0	0	1	1
1772197093	8	98052	101456	0	201688	6593	0	88	0	96904	846	1670	17	0	0	1	1
1772197095	10	98052	101456	0	201688	6593	0	88	0	114260	1066	1838	19	0	0	1	1
1772197097	12	98052	101456	0	201688	6593	0	88	0	144087	1347	15667	44	0	0	1	1
1772197099	14	98052	101456	0	201688	6593	0	88	0	164795	1613	17127	51	0	0	1	1
1772197101	16	98052	101456	0	201688	6593	0	88	0	179356	1821	17897	62	0	0	1	1
1772197103	18	98052	101456	0	201688	6593	0	88	0	188401	1998	18124	65	0	0	1	1
1772197105	20	98052	101456	0	201688	6593	0	88	0	254754	2310	18918	77	0	0	1	1
1772197107	22	98052	101456	0	201688	6593	0	88	0	266290	2482	19384	81	0	0	1	1
1772197109	24	98052	101456	0	201688	6593	0	88	0	283741	2677	21560	95	0	0	1	1
1772197111	26	98052	101456	0	201688	6593	0	88	0	296776	2872	21700	97	0	0	1	1
1772197113	28	98052	101456	0	201688	6593	0	88	0	319030	3171	22260	105	0	0	1	1
1772197115	30	98052	101456	0	201688	6593	0	88	0	337650	3430	22732	112	0	0	1	1
1772197117	32	98052	101456	0	201688	6593	0	88	0	354239	3632	22872	114	0	0	1	1
1772197119	34	98052	101456	0	201688	6593	0	88	0	372867	3919	22947	115	0	0	1	1
1772197121	36	98052	101456	0	201688	6593	0	88	0	463509	4413	42150	162	0	0	1	1
1772197123	38	98052	101456	0	201688	6593	0	88	0	483316	4685	42329	164	0	0	1	1
1772197125	40	98052	101456	0	201688	6593	0	88	0	501196	4924	42553	167	0	0	1	1
1772197127	42	98052	101456	0	201688	6593	0	88	0	513105	5124	42693	169	0	0	1	1
1772197129	44	98052	101456	0	201688	6593	0	88	0	526842	5301	51599	189	0	0	1	1
1772197131	46	98052	101456	0	201688	6593	0	88	0	548515	5507	56890	198	0	0	1	1
1772197133	48	98052	101456	0	201688	6593	0	88	0	564970	5752	56960	199	0	0	1	1
1772197135	50	98052	101456	0	201688	6593	0	88	0	632161	6084	57292	204	0	0	1	1
1772197137	52	98052	101456	0	201688	6593	0	88	0	643212	6259	57780	212	0	0	1	1
1772197139	54	98052	101456	0	201688	6593	0	88	0	654985	6440	58009	215	0	0	1	1
1772197141	56	98052	101456	0	201688	6593	0	88	0	670298	6639	58289	219	0	0	1	1
1772197143	58	98052	101456	0	201688	6593	0	88	0	684485	6872	58368	220	0	0	1	1
1772197145	60	98052	101456	0	201688	6593	0	88	0	698799	7105	59521	237	0	0	1	1
1772197147	62	98052	101456	0	201688	6593	0	88	0	706147	7243	59521	237	0	0	1	1
1772197149	64	98052	101456	0	201688	6593	0	88	0	719567	7439	60081	245	0	0	1	1
1772197151	66	98052	101456	0	201688	6593	0	88	0	746871	7656	80115	280	0	0	1	1
1772197153	68	98052	101456	0	201688	6593	0	88	0	766341	7913	89327	289	0	0	1	1
1772197155	70	98052	101456	0	201688	6593	0	88	0	783277	8121	91001	295	0	0	1	1
1772197157	72	98052	101456	0	201688	6593	0	88	0	806469	8337	113768	346	0	0	1	1
1772197159	74	98052	101456	0	201688	6593	0	88	0	818861	8537	114680	352	0	0	1	1
1772197161	76	98052	101456	0	201688	6593	0	88	0	831092	8715	119922	361	0	0	1	1
1772197163	78	98052	101456	0	201688	6593	0	88	0	843176	8859	127248	371	0	0	1	1
1772197165	80	98052	101456	0	201688	6593	0	88	0	861008	9098	130348	379	0	0	1	1
1772197167	82	98052	101456	0	201688	6593	0	88	0	877668	9341	136625	410	0	0	1	1
1772197169	84	98052	101456	0	201688	6593	0	88	0	897331	9500	144565	426	0	0	1	1
1772197171	86	98052	101456	0	201688	6593	0	88	0	910733	9649	145229	428	0	0	1	1
1772197173	88	98052	101456	0	201688	6593	0	88	0	927198	9884	145229	428	0	0	1	1
1772197175	90	98052	101456	0	201688	6593	0	88	0	941847	10045	146070	437	0	0	1	1
1772197177	92	98052	101456	0	201688	6593	0	88	0	949157	10167	146140	438	0	0	1	1
1772197179	94	98052	101456	0	201688	6593	0	88	0	968976	10332	156997	458	0	0	1	1
1772197181	96	98052	101456	0	201688	6593	0	88	0	990411	10495	170571	483	0	0	1	1
1772197183	98	98052	101456	0	201688	6593	0	88	0	1004534	10642	171570	495	0	0	1	1
1772197185	100	98052	101456	0	201688	6593	0	88	0	1015912	10808	171929	500	0	0	1	1
1772197187	102	98052	101456	0	201688	6593	0	88	0	1033366	11064	172298	502	0	0	1	1
1772197189	104	98052	101456	0	201688	6593	0	88	0	1059323	11302	172298	502	0	0	1	1
1772197191	106	98052	101456	0	201688	6593	0	88	0	1075725	11495	172858	510	0	0	1	1
1772197193	108	98052	101456	0	201688	6593	0	88	0	1092694	11718	173138	514	0	0	1	1
1772197195	110	98052	101456	0	201688	6593	0	88	0	1106502	11895	173680	522	0	0	1	1
1772197197	112	98052	101456	0	201688	6593	0	88	0	1117894	12051	173825	524	0	0	1	1
1772197199	114	98052	101456	0	201688	6593	0	88	0	1140030	12241	186845	549	0	0	1	1
1772197201	116	98052	101456	0	201688	6593	0	88	0	1152155	12407	188170	554	0	0	1	1
1772197203	118	98052	101456	0	201688	6593	0	88	0	1166135	12588	194391	572	0	0	1	1
1772197205	120	98052	101456	0	201688	6593	0	88	0	1181671	12750	203627	582	0	0	1	1
