Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772196604	0	9095	12364	0	201688	6593	0	88	0	0	0	0	0	0	0	1	1
1772196606	2	98052	101448	0	201688	6593	0	88	0	6862	87	0	0	0	0	1	1
1772196608	4	98052	101448	0	201688	6593	0	88	0	20185	227	594	1	0	0	1	1
1772196610	6	98052	101448	0	201688	6593	0	88	0	87559	556	1406	5	0	0	1	1
1772196612	8	98052	101448	0	201688	6593	0	88	0	99119	717	2182	8	0	0	1	1
1772196614	10	98052	101448	0	201688	6593	0	88	0	116576	907	2350	10	0	0	1	1
1772196616	12	98052	101448	0	201688	6593	0	88	0	133195	1120	8664	29	0	0	1	1
1772196618	14	98052	101448	0	201688	6593	0	88	0	147024	1288	9089	35	0	0	1	1
1772196620	16	98052	101448	0	201688	6593	0	88	0	164221	1461	15639	41	0	0	1	1
1772196622	18	98052	101448	0	201688	6593	0	88	0	187528	1790	21638	49	0	0	1	1
1772196624	20	98052	101448	0	201688	6593	0	88	0	201003	1959	33472	72	0	0	1	1
1772196626	22	98052	101448	0	201688	6593	0	88	0	279416	2290	49876	98	0	0	1	1
1772196628	24	98052	101448	0	201688	6593	0	88	0	306932	2512	77312	149	0	0	1	1
1772196630	26	98052	101448	0	201688	6593	0	88	0	325172	2739	77398	150	0	0	1	1
1772196632	28	98052	101448	0	201688	6593	0	88	0	349291	2974	92142	182	0	0	1	1
1772196634	30	98052	101448	0	201688	6593	0	88	0	362166	3150	94902	186	0	0	1	1
1772196636	32	98052	101448	0	201688	6593	0	88	0	385685	3364	111246	221	0	0	1	1
1772196638	34	98052	101448	0	201688	6593	0	88	0	397610	3545	112080	226	0	0	1	1
1772196640	36	98052	101448	0	201688	6593	0	88	0	463819	3851	112080	226	0	0	1	1
1772196642	38	98052	101448	0	201688	6593	0	88	0	487012	4093	112549	229	0	0	1	1
1772196644	40	98052	101448	0	201688	6593	0	88	0	506786	4318	126545	250	0	0	1	1
1772196646	42	98052	101448	0	201688	6593	0	88	0	525231	4556	128259	258	0	0	1	1
1772196648	44	98052	101448	0	201688	6593	0	88	0	549128	4774	144715	288	0	0	1	1
1772196650	46	98052	101448	0	201688	6593	0	88	0	570622	5061	146566	298	0	0	1	1
1772196652	48	98052	101448	0	201688	6593	0	88	0	584095	5268	152922	310	0	0	1	1
1772196654	50	98052	101448	0	201688	6593	0	88	0	697439	5521	167570	397	0	0	1	1
1772196656	52	98052	101448	0	201688	6593	0	88	0	927761	5951	192475	528	0	0	1	1
1772196658	54	98052	101448	0	201688	6593	0	88	0	1081753	6335	227258	649	0	0	1	1
1772196660	56	98052	101448	0	201688	6593	0	88	0	1099270	6519	251426	676	0	0	1	1
1772196662	58	98052	101448	0	201688	6593	0	88	0	1124140	6766	293221	724	0	0	1	1
1772196664	60	98052	101448	0	201688	6593	0	88	0	1152414	7135	328658	762	0	0	1	1
