Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772196413	114	98055	101456	0	201688	6593	0	88	0	2141842	14201	2379070	2853	0	0	1	1
1772196415	116	98055	101456	0	201688	6593	0	88	0	2154388	14389	2379634	2861	0	0	1	1
1772196417	118	98055	101456	0	201688	6593	0	88	0	2166505	14569	2380099	2867	0	0	1	1
1772196419	120	98055	101456	0	201688	6593	0	88	0	2191664	14810	2380572	2873	0	0	1	1
1772196421	122	98055	101456	0	201688	6593	0	88	0	2206586	15005	2627434	3071	0	0	1	1
1772196423	124	98055	101456	0	201688	6593	0	88	0	2228531	15241	2627913	3077	0	0	1	1
1772196425	126	98055	101456	0	201688	6593	0	88	0	2247801	15465	2630578	3092	0	0	1	1
1772196427	128	98055	101456	0	201688	6593	0	88	0	2277886	15778	2631051	3098	0	0	1	1
1772196429	130	98055	101456	0	201688	6593	0	88	0	2298800	15982	2631586	3105	0	0	1	1
1772196431	132	98055	101456	0	201688	6593	0	88	0	2326129	16234	2639767	3132	0	0	1	1
1772196433	134	98055	101456	0	201688	6593	0	88	0	2353056	16433	2655517	3155	0	0	1	1
1772196435	136	98055	101456	0	201688	6593	0	88	0	2372763	16626	2655517	3155	0	0	1	1
1772196437	138	98055	101456	0	201688	6593	0	88	0	2385958	16843	2662526	3172	0	0	1	1
1772196439	140	98055	101456	0	201688	6593	0	88	0	2400664	17032	2662604	3173	0	0	1	1
1772196441	142	98055	101456	0	201688	6593	0	88	0	2422261	17273	2669315	3180	0	0	1	1
1772196443	144	98055	101456	0	201688	6593	0	88	0	2443515	17521	2669390	3181	0	0	1	1
1772196445	146	98055	101456	0	201688	6593	0	88	0	2509788	17771	2718410	3226	0	0	1	1
1772196447	148	98055	101456	0	201688	6593	0	88	0	2551946	18099	2727765	3251	0	0	1	1
1772196449	150	98055	101456	0	201688	6593	0	88	0	2562954	18261	2729453	3258	0	0	1	1
1772196451	152	98055	101456	0	201688	6593	0	88	0	2577584	18425	2729453	3258	0	0	1	1
1772196453	154	98055	101456	0	201688	6593	0	88	0	2594492	18593	2745314	3283	0	0	1	1
1772196455	156	98055	101456	0	201688	6593	0	88	0	2650648	18811	2794954	3321	0	0	1	1
1772196457	158	98055	101456	0	201688	6593	0	88	0	2666001	18972	2803540	3338	0	0	1	1
1772196459	160	98055	101456	0	201688	6593	0	88	0	2675310	19117	2804134	3339	0	0	1	1
1772196461	162	98055	101456	0	201688	6593	0	88	0	2686200	19281	2804212	3340	0	0	1	1
1772196463	164	98055	101456	0	201688	6593	0	88	0	2699813	19424	2810687	3350	0	0	1	1
1772196465	166	98055	101456	0	201688	6593	0	88	0	2740823	19588	2841278	3364	0	0	1	1
1772196467	168	98055	101456	0	201688	6593	0	88	0	2762629	19798	2847272	3379	0	0	1	1
1772196469	170	98055	101456	0	201688	6593	0	88	0	2773041	19978	2847420	3381	0	0	1	1
1772196471	172	98055	101456	0	201688	6593	0	88	0	2788568	20217	2847420	3381	0	0	1	1
1772196473	174	98055	101456	0	201688	6593	0	88	0	2803956	20462	2848961	3385	0	0	1	1
1772196475	176	98055	101456	0	201688	6593	0	88	0	2844874	20652	2879791	3403	0	0	1	1
1772196477	178	98055	101456	0	201688	6593	0	88	0	2862673	20847	2886717	3425	0	0	1	1
1772196479	180	98055	101456	0	201688	6593	0	88	0	2874173	21033	2887615	3431	0	0	1	1
1772196481	182	98055	101456	0	201688	6593	0	88	0	2886341	21212	2887693	3432	0	0	1	1
1772196483	184	98055	101456	0	201688	6593	0	88	0	2898624	21384	2887838	3434	0	0	1	1
1772196485	186	98055	101456	0	201688	6593	0	88	0	2940069	21591	2917929	3449	0	0	1	1
1772196487	188	98055	101456	0	201688	6593	0	88	0	2957899	21819	2923923	3464	0	0	1	1
1772196489	190	98055	101456	0	201688	6593	0	88	0	2969662	22010	2924001	3465	0	0	1	1
1772196491	192	98055	101456	0	201688	6593	0	88	0	2996376	22441	2932398	3481	0	0	1	1
1772196493	194	98055	101456	0	201688	6593	0	88	0	3031992	23106	2932542	3483	0	0	1	1
1772196495	196	98055	101456	0	201688	6593	0	88	0	3077540	23395	2962590	3497	0	0	1	1
1772196497	198	98055	101456	0	201688	6593	0	88	0	3100194	23612	2979619	3540	0	0	1	1
1772196499	200	98055	101456	0	201688	6593	0	88	0	3112670	23782	2979689	3541	0	0	1	1
1772196501	202	98055	101456	0	201688	6593	0	88	0	3123516	23955	2979767	3542	0	0	1	1
1772196503	204	98055	101456	0	201688	6593	0	88	0	3135264	24118	2979912	3544	0	0	1	1
